headers	province	region
EPI_ISL_2696052|B/Shanghai-Jiading/1243/2021|2021-03-28	Shanghai	East
EPI_ISL_2696053|B/Guizhou-Huichuan/1251/2021|2021-03-29	Guizhou	Southwest
EPI_ISL_2696054|B/Guizhou-Huichuan/1251/2021|2021-03-29	Guizhou	Southwest
EPI_ISL_2696058|B/Henan-Shanyang/311/2021|2021-03-29	Henan	Central
EPI_ISL_2696060|B/Guangdong-Yuncheng/1502/2021|2021-03-29	Guangdong	South
EPI_ISL_2696061|B/Qinghai-Yushu/1170/2021|2021-03-29	Qinghai	Northwest
EPI_ISL_2696063|B/Hubei-Xianan/1387/2021|2021-03-29	Hubei	Central
EPI_ISL_2696072|B/Hubei-Xiling/1280/2021|2021-03-18	Hubei	Central
EPI_ISL_2696075|B/Shaanxi-Zhenan/388/2021|2021-03-19	Shaanxi	Northwest
EPI_ISL_2696077|B/Jiangxi-Xinzhou/1288/2021|2021-03-23	Jiangxi	East
EPI_ISL_2696078|B/Jiangsu-Danyang/1230/2021|2021-03-23	Jiangsu	East
EPI_ISL_2696079|B/Ningxia-Shapotou/1226/2021|2021-03-23	Ningxia	Northwest
EPI_ISL_2696080|B/Guangxi-Chengzhong/1368/2021|2021-03-24	Guangxi	South
EPI_ISL_2696081|B/Hunan-Tianyuan/348/2021|2021-03-25	Hunan	Central
EPI_ISL_2696082|B/Hunan-Tianyuan/1345/2021|2021-03-29	Hunan	Central
EPI_ISL_2696084|B/Guangdong-Chikan/1261/2021|2021-03-29	Guangdong	South
EPI_ISL_2696085|B/Qinghai-Chengdong/1374/2021|2021-04-01	Qinghai	Northwest
EPI_ISL_2696086|B/Hunan-Yuhua/1494/2021|2021-04-01	Hunan	Central
EPI_ISL_2696089|B/Hunan-Wuling/11214/2021|2021-04-06	Hunan	Central
EPI_ISL_2696092|B/Guizhou-Huichuan/1175/2021|2021-03-01	Guizhou	Southwest
EPI_ISL_2696096|B/Zhejiang-Yuecheng/1279/2021|2021-02-13	Zhejiang	East
EPI_ISL_2696097|B/Shandong-Tianqiao/179/2021|2021-02-04	Shandong	East
EPI_ISL_2696098|B/Jiangxi-Anyuan/1122/2021|2021-02-08	Jiangxi	East
EPI_ISL_2696101|B/Jiangxi-Xinzhou/1178/2021|2021-03-01	Jiangxi	East
EPI_ISL_2696102|B/Jiangxi-Xinzhou/1157/2021|2021-02-21	Jiangxi	East
EPI_ISL_2696103|B/Jiangxi-Yuehu/1206/2021|2021-02-23	Jiangxi	East
EPI_ISL_2696104|B/Jiangxi-Guixi/1225/2021|2021-03-01	Jiangxi	East
EPI_ISL_2696105|B/Jiangxi-Guixi/1212/2021|2021-03-01	Jiangxi	East
EPI_ISL_2696108|B/Jiangxi-Linchuan/1164/2021|2021-02-20	Jiangxi	East
EPI_ISL_2696109|B/Jiangxi-Xihu/1218/2021|2021-03-03	Jiangxi	East
EPI_ISL_2696110|B/Jiangxi-Zhushan/1161/2021|2021-02-26	Jiangxi	East
EPI_ISL_2696111|B/Jiangxi-Zhushan/1104/2021|2021-02-06	Jiangxi	East
EPI_ISL_2696112|B/Jiangxi-Linchuan/1197/2021|2021-02-28	Jiangxi	East
EPI_ISL_2696113|B/Jiangxi-Donghu/1293/2021|2021-02-17	Jiangxi	East
EPI_ISL_2696114|B/Jiangxi-Donghu/1201/2021|2021-02-04	Jiangxi	East
EPI_ISL_2696115|B/Jiangxi-Donghu/1199/2021|2021-02-03	Jiangxi	East
